statement,class_id,class_name
struct cfg j;,3,Declaration
y ^= 92;,10,Bitwise Operation
if (k == NULL) { },2,Conditional
while (len <= result) { },1,Loop
return y % 9 == 0;,5,Return
if (k != 20) { },2,Conditional
return (uint32_t *) count;,12,Cast Expression
if (offset == &j) { },7,Pointer Operation
sum = list[10 - 1];,6,Array Access
while (i != NULL) { },1,Loop
if (len != 59) { },2,Conditional
std::unique_ptr<uint8_t> value = std::make_unique<int64_t>();,13,Memory Allocation
err = table[z - 1];,6,Array Access
delete k;,13,Memory Allocation
list[n] += 7;,6,Array Access
throw std::runtime_error(std::to_string(code));,14,Exception Handling
z = buf[24];,6,Array Access
count <<= 58;,9,Increment/Decrement
vals[index] += 17;,6,Array Access
if (offset && !i) { },11,Logical Expression
if (total && index) { },11,Logical Expression
j.data += 106;,8,Struct Access
assert(temp != NULL);,14,Exception Handling
result->next = 7;,8,Struct Access
throw std::runtime_error(std::to_string(offset));,14,Exception Handling
flag = *err + *z;,7,Pointer Operation
switch (flag) { },2,Conditional
x->data--;,9,Increment/Decrement
*sum = *value;,7,Pointer Operation
--nums[len];,9,Increment/Decrement
char *k = new int64_t();,13,Memory Allocation
++matrix[err];,9,Increment/Decrement
j = &z;,7,Pointer Operation
code = (char *) n;,12,Cast Expression
size = (size_t) value * 31;,12,Cast Expression
len->prev = result->size;,8,Struct Access
result = arr[temp][y];,6,Array Access
matrix[err] = n;,6,Array Access
uint8_t *code = malloc(sizeof(uint8_t));,13,Memory Allocation
buf[offset]--;,6,Array Access
sum = &z;,7,Pointer Operation
*x = fclose(temp);,7,Pointer Operation
ret = (int) temp + 9;,12,Cast Expression
"printf(""%d\n"", i);",4,Function Call
for (int offset = 103 - 1; ret >= 0; err--) { },1,Loop
return (result == y) ? 1 : 0;,5,Return
*size -= 88;,7,Pointer Operation
long *x = reinterpret_cast<double *>(index);,12,Cast Expression
offset ^= count;,10,Bitwise Operation
if (result || ret) { },11,Logical Expression
return temp != NULL;,5,Return
result = printf(n) - count;,0,Assignment
if (z == NULL) throw std::runtime_error();,14,Exception Handling
size_t code = rand(ret);,3,Declaration
*(i + 101) = sum;,7,Pointer Operation
sum = const_cast<float *>(i);,12,Cast Expression
return (char) z;,12,Cast Expression
for (int count = 116; i > 0; code--) { },1,Loop
scanf(abs(count));,4,Function Call
if (sum->head == NULL) { },8,Struct Access
flag = *(code + 85);,7,Pointer Operation
count = (i >= 103) && (z >= 57);,11,Logical Expression
for (int result = 0; y < 31; code++) y++;,9,Increment/Decrement
size_t err = !flag;,11,Logical Expression
"if (sum < 0) throw std::bad_alloc(""z"");",14,Exception Handling
if (k > 124 && sum < 28) { },2,Conditional
assert(offset != err);,14,Exception Handling
*(temp + 89) = sum;,7,Pointer Operation
(++count);,9,Increment/Decrement
uint32_t index = (offset && x);,11,Logical Expression
return result != NULL;,5,Return
if (len == err) { },2,Conditional
matrix[err] = 21;,6,Array Access
return err - 82;,5,Return
if (exp(j) == 0) { },2,Conditional
(*index)++;,9,Increment/Decrement
if (flag->tail == NULL) { },8,Struct Access
"double flag, x;",3,Declaration
double *total = malloc(sizeof(double));,13,Memory Allocation
"printf(&x, 56);",4,Function Call
value >>= 11;,9,Increment/Decrement
y = value / 91;,0,Assignment
bool n = len || !i;,11,Logical Expression
atoi();,4,Function Call
if (x.prev >= 112) { },8,Struct Access
if (x != NULL) { },2,Conditional
"printf(""%d %d\n"", len, z);",4,Function Call
--(*n);,9,Increment/Decrement
index.size--;,8,Struct Access
abs(memcpy(err));,4,Function Call
n = ret + j + 90;,0,Assignment
int temp = size - 7;,3,Declaration
(*k)++;,7,Pointer Operation
while (value) { },1,Loop
exp();,4,Function Call
temp = 0;,0,Assignment
if ((value & 56) == 0) { },10,Bitwise Operation
assert(total >= 0);,14,Exception Handling
size = (n >> 119) & 82;,10,Bitwise Operation
while (total < 100) { },1,Loop
for (len = 0; sum < value; z++) { },1,Loop
if (!len && sum) { },11,Logical Expression
while (!flag) { },1,Loop
value->left = err->len + 94;,8,Struct Access
++vals[n];,9,Increment/Decrement
*offset = *err + 126;,7,Pointer Operation
code = (x | 91) << 120;,10,Bitwise Operation
return index / 123;,5,Return
volatile int code;,3,Declaration
size = len / 34;,0,Assignment
matrix[value]--;,9,Increment/Decrement
do { } while (ret >= 79);,1,Loop
if (*j == 26) { },7,Pointer Operation
queue[result]--;,9,Increment/Decrement
if (exp(offset) > 0) { },2,Conditional
"flag = sqrt(j, 87);",0,Assignment
"n = realloc(j, 32);",13,Memory Allocation
"int64_t *j = calloc(56, sizeof(int));",13,Memory Allocation
code = y | 56;,10,Bitwise Operation
"printf(sum, exp(len));",4,Function Call
if (n && !y) { },11,Logical Expression
delete count;,13,Memory Allocation
"rand(&x, 26);",4,Function Call
throw std::runtime_error(std::to_string(k));,14,Exception Handling
ret = malloc(sizeof(uint8_t) * 120);,13,Memory Allocation
const int64_t total = z + 57;,3,Declaration
return err + flag;,5,Return
i = *((size_t *) count);,7,Pointer Operation
i = 0;,0,Assignment
temp.head++;,9,Increment/Decrement
void *temp = (void *) j;,7,Pointer Operation
"memset(flag, 0, 62);",13,Memory Allocation
size_t total = (err || code);,11,Logical Expression
k.size++;,9,Increment/Decrement
for (flag = 0; size < result; n += 70) { },1,Loop
for (int x = 9; index > 0; code--) { },1,Loop
count->prev--;,8,Struct Access
cfg_destroy(i);,4,Function Call
"n = realloc(result, sizeof(int) * 6);",13,Memory Allocation
n = flag | (1 << 31);,10,Bitwise Operation
for (size_t code = 0; x < 122; k++) { },1,Loop
"if (index < 13) throw std::bad_alloc(""i"");",14,Exception Handling
result = ret | err;,10,Bitwise Operation
arr[x] += 9;,6,Array Access
return k != NULL;,5,Return
offset = flag->len + 43;,8,Struct Access
table[offset]--;,6,Array Access
if (size >= err) { },2,Conditional
"rand(y, NULL);",4,Function Call
buf[4] = total;,6,Array Access
if (!code) { },2,Conditional
*i = *temp + 92;,7,Pointer Operation
throw std::bad_alloc();,14,Exception Handling
int *index = NULL;,7,Pointer Operation
header_init(&size);,4,Function Call
"printf(""%s\n"", len);",4,Function Call
y = (size_t) x * 105;,12,Cast Expression
list[i]--;,9,Increment/Decrement
n = j;,0,Assignment
bool index[9];,3,Declaration
long *result = (long *) malloc(sizeof(int64_t) * 37);,13,Memory Allocation
if (i && !err) { },11,Logical Expression
"result = calloc(41, sizeof(int64_t));",13,Memory Allocation
char *n = new uint8_t[61];,13,Memory Allocation
"printf(""%s\n"", ret);",4,Function Call
value = new long[58];,13,Memory Allocation
offset = queue[n] + data[value];,6,Array Access
buf[98] = printf(err);,6,Array Access
float value[50];,3,Declaration
char *temp = reinterpret_cast<bool *>(n);,12,Cast Expression
return flag == 14;,5,Return
if (code == NULL) throw std::bad_alloc();,14,Exception Handling
std::unique_ptr<int> sum = std::make_unique<uint32_t>();,13,Memory Allocation
arr[ret] = total;,6,Array Access
return temp > 70;,5,Return
err = sizeof(int);,0,Assignment
k = count * x;,0,Assignment
if (result == NULL) { },2,Conditional
bool count = (total || x);,11,Logical Expression
z = (j <= err) ? 1 : 0;,11,Logical Expression
index = (double) x;,12,Cast Expression
if (j != 0) throw std::invalid_argument();,14,Exception Handling
stack[sum]++;,9,Increment/Decrement
catch (...) { },14,Exception Handling
size->size = exp(len);,8,Struct Access
if ((err & 83) == 0) { },10,Bitwise Operation
if (count == NULL) { },2,Conditional
ret = k % 28;,0,Assignment
if (!(result && z)) { },11,Logical Expression
index = buf[0];,6,Array Access
code = log(temp) + 22;,0,Assignment
return NULL;,5,Return
assert(z > 84);,4,Function Call
if ((code = malloc(sizeof(int64_t))) == NULL) { },13,Memory Allocation
if (scanf(x) > 0) { },2,Conditional
if (!z || !i) { },11,Logical Expression
k->head++;,9,Increment/Decrement
flag = dynamic_cast<uint32_t *>(i);,12,Cast Expression
if (sum > 91 && len < 56) { },2,Conditional
bool z[38] = {0};,3,Declaration
const uint8_t y = (int64_t) n;,12,Cast Expression
if (n == 54 || x == 72) { },2,Conditional
if (log(ret) || offset <= 118) { },11,Logical Expression
temp = buf[count][code];,6,Array Access
if (ret > 76 && i < 97) { },2,Conditional
throw std::runtime_error();,14,Exception Handling
bool *len = &temp;,7,Pointer Operation
bool size = (sum && count);,11,Logical Expression
i.len++;,8,Struct Access
if (err > 66 && len < 86) { },2,Conditional
ret = (double) (err - 35);,12,Cast Expression
while (value != NULL) { },1,Loop
k = list[25 - 1];,6,Array Access
switch (result) { },2,Conditional
"if (total == 85) throw std::runtime_error(""k"");",14,Exception Handling
*err = memset(ret);,7,Pointer Operation
return j > 25;,5,Return
index = (float) len;,12,Cast Expression
struct tree code;,3,Declaration
if (sum && sum) { },11,Logical Expression
return sizeof(char);,5,Return
--vals[ret];,9,Increment/Decrement
return k > size;,5,Return
len = *code;,7,Pointer Operation
matrix[index] = 111;,6,Array Access
double offset[113][74];,3,Declaration
try { } catch (...) { },14,Exception Handling
return result % 22 == 0;,5,Return
double offset = 111;,3,Declaration
return count * 109;,5,Return
x = sum->key + 72;,8,Struct Access
assert(n < 47);,14,Exception Handling
if (temp != 82) { },2,Conditional
return 123;,5,Return
buf[len] = matrix[n - 1];,6,Array Access
flag = x / 23;,0,Assignment
bool offset = !z && !ret;,11,Logical Expression
result ^= x;,10,Bitwise Operation
if (k <= 92) { },2,Conditional
double y = (double) err / 87;,12,Cast Expression
bool ret = !y && !len;,11,Logical Expression
return sum->left;,8,Struct Access
ret = 76 * 122;,0,Assignment
"uint8_t result, k;",3,Declaration
"float value, count;",3,Declaration
int64_t k[7] = {0};,3,Declaration
if (size) { },2,Conditional
(--temp);,9,Increment/Decrement
return (value == y) ? 1 : 0;,5,Return
header_destroy(j);,4,Function Call
if (sum != 116) { },2,Conditional
if (log(temp) || temp <= 39) { },11,Logical Expression
node_init(&ret);,4,Function Call
"double result, offset;",3,Declaration
throw;,14,Exception Handling
"scanf(flag, y, code);",4,Function Call
value->val = i;,8,Struct Access
"throw std::runtime_error(""temp"");",14,Exception Handling
if ((count & 52) == 0) { },10,Bitwise Operation
flag ^= sum;,10,Bitwise Operation
x = (size | 1) << 3;,10,Bitwise Operation
return ret > 0 && count < 114;,5,Return
if (!j && len) { },11,Logical Expression
code = vals[0];,6,Array Access
if (memcpy(offset) == 0) { },2,Conditional
"index = fclose(i, 90);",0,Assignment
sum->left++;,9,Increment/Decrement
free(y); k = NULL;,13,Memory Allocation
if (temp.len == 0) { },8,Struct Access
n = malloc(71);,13,Memory Allocation
if (j == size) { },2,Conditional
table[107] = memset(code);,6,Array Access
index = &err;,7,Pointer Operation
if (!err || !err) { },11,Logical Expression
assert(result != NULL);,14,Exception Handling
while (flag > 0) { },1,Loop
offset->right = fopen(k);,8,Struct Access
temp = offset ? 84 : 64;,0,Assignment
offset->val++;,9,Increment/Decrement
sum = (long) 74;,12,Cast Expression
code = (temp & 73) >> 104;,10,Bitwise Operation
if (!flag || !temp) { },11,Logical Expression
if (index == 55) { },2,Conditional
count = (code != 124) || (len != 112);,11,Logical Expression
matrix[count]++;,9,Increment/Decrement
if (len) { },2,Conditional
for (long n = 0; x < 53; count++) { },1,Loop
temp--;,9,Increment/Decrement
if (flag || j) { },11,Logical Expression
err = z & x;,10,Bitwise Operation
if (x->right < 76) { },8,Struct Access
return result >= 0;,5,Return
for (temp = 0; i < 61; total++) { },1,Loop
switch (flag) { },2,Conditional
*x += 40;,7,Pointer Operation
if (*sum == 46) { },7,Pointer Operation
return -1;,5,Return
"long y, total;",3,Declaration
int64_t total;,3,Declaration
if ((ret = malloc(sizeof(int))) == NULL) { },13,Memory Allocation
size_t count = (j && err);,11,Logical Expression
int offset = (size_t) fclose(total);,12,Cast Expression
(--y);,9,Increment/Decrement
stack[i + 32] = x;,6,Array Access
return total == 71;,5,Return
list[z]++;,9,Increment/Decrement
total = reinterpret_cast<float *>(size);,12,Cast Expression
err = !(value <= 102);,11,Logical Expression
len = flag / 62;,0,Assignment
