n_instrs,n_assigns,n_binops,n_calls,n_labels,n_literals,n_temps,has_loop,call_density,assign_ratio,avg_use_count,depth_score,label_constant_fold,label_dead_code,label_loop_unroll,label_inline
10,4,6,2,0,1,2,0,0.2,0.4,3.223,2,1,0,0,1
7,4,3,0,0,3,1,0,0.0,0.5714,2.933,0,1,0,0,0
29,3,26,1,3,0,5,1,0.0345,0.1034,0.994,7,0,1,1,0
8,5,3,0,0,3,0,0,0.0,0.625,0.989,0,1,1,1,1
6,1,5,1,0,0,3,0,0.1667,0.1667,1.482,1,0,0,0,0
25,5,20,1,3,2,1,1,0.04,0.2,0.948,7,0,1,1,0
12,4,8,1,0,2,6,0,0.0833,0.3333,2.34,1,1,0,0,0
15,10,0,5,0,2,1,0,0.3333,0.6667,2.996,5,1,0,0,1
18,7,11,0,0,0,4,0,0.0,0.3889,1.747,0,0,1,0,0
6,2,4,1,1,2,3,1,0.1667,0.3333,0.721,3,1,0,1,1
18,6,12,1,2,1,2,1,0.0556,0.3333,2.457,5,1,0,1,1
15,9,6,0,0,3,2,0,0.0,0.6,2.053,0,1,0,0,0
11,5,6,2,0,2,4,0,0.1818,0.4545,2.277,2,1,0,0,0
18,7,11,1,0,0,3,0,0.0556,0.3889,2.395,1,0,0,0,1
15,7,4,4,0,0,1,0,0.2667,0.4667,1.596,4,0,1,0,1
13,2,6,5,0,0,5,0,0.3846,0.1538,2.783,5,0,0,0,1
17,4,13,0,0,3,1,0,0.0,0.2353,1.513,0,0,1,0,0
19,7,12,0,1,3,6,1,0.0,0.3684,2.523,2,1,0,1,0
16,5,11,0,0,3,3,0,0.0,0.3125,2.265,0,1,0,0,0
5,3,2,0,0,2,1,0,0.0,0.6,1.756,0,1,1,0,0
37,7,30,2,5,7,8,1,0.0541,0.1892,2.788,12,0,0,0,0
21,7,14,2,0,3,2,0,0.0952,0.3333,1.64,2,1,1,0,0
17,2,15,2,6,0,3,1,0.1176,0.1176,2.048,14,0,0,0,1
15,12,3,0,0,11,0,0,0.0,0.8,3.416,0,1,0,0,0
11,4,7,2,0,2,8,0,0.1818,0.3636,2.866,2,1,0,0,1
20,17,0,3,0,1,4,0,0.15,0.85,2.384,3,1,0,0,1
20,20,0,0,0,10,8,0,0.0,1.0,3.274,0,1,0,0,0
9,2,7,1,1,0,6,1,0.1111,0.2222,1.51,3,0,0,1,1
19,1,16,2,0,1,1,0,0.1053,0.0526,2.409,2,0,0,0,1
6,3,0,3,0,2,2,0,0.5,0.5,1.414,3,1,1,0,1
3,3,0,1,0,0,3,0,0.3333,1.0,3.248,1,0,0,0,1
12,3,9,2,5,3,5,1,0.1667,0.25,2.436,12,0,0,0,1
72,36,36,3,0,10,11,0,0.0417,0.5,1.458,3,1,1,0,0
7,3,4,1,0,2,1,0,0.1429,0.4286,2.371,1,0,0,0,1
53,18,35,0,5,5,15,1,0.0,0.3396,2.49,10,1,0,0,0
8,5,3,0,0,5,0,0,0.0,0.625,2.599,0,1,0,0,0
5,5,0,0,0,4,3,0,0.0,1.0,1.203,0,1,1,0,0
18,11,7,0,0,8,1,0,0.0,0.6111,2.267,0,1,0,1,0
19,6,7,6,0,0,1,0,0.3158,0.3158,2.223,6,0,0,1,1
73,34,39,3,3,1,5,1,0.0411,0.4658,1.577,9,1,1,0,0
11,2,9,1,0,0,6,0,0.0909,0.1818,1.101,1,0,0,0,1
76,32,44,2,5,10,16,1,0.0263,0.4211,1.442,12,0,1,0,0
25,12,13,0,0,5,2,0,0.0,0.48,2.023,0,1,0,0,0
10,10,0,0,0,9,4,0,0.0,1.0,1.785,0,0,1,0,0
8,3,5,1,2,0,3,1,0.125,0.375,1.653,5,0,1,1,1
7,1,1,5,0,1,5,0,0.7143,0.1429,0.871,5,0,0,0,1
8,7,1,0,0,3,3,0,0.0,0.875,2.079,0,1,0,0,0
15,6,4,5,0,0,5,0,0.3333,0.4,3.293,5,0,0,0,1
20,20,0,0,0,18,2,0,0.0,1.0,0.996,0,1,1,0,0
11,2,9,2,0,0,7,0,0.1818,0.1818,2.144,2,0,0,0,1
24,4,20,0,0,2,7,0,0.0,0.1667,2.03,0,0,0,1,0
19,8,11,0,0,6,0,0,0.0,0.4211,3.211,0,1,0,0,0
12,6,6,0,0,1,4,0,0.0,0.5,3.219,0,1,0,0,0
15,5,10,2,6,1,5,1,0.1333,0.3333,2.699,14,1,0,0,1
15,13,2,0,0,10,3,0,0.0,0.8667,0.501,0,0,1,1,0
53,9,44,4,1,2,9,1,0.0755,0.1698,3.482,6,0,0,0,0
39,5,34,2,6,4,5,1,0.0513,0.1282,3.405,14,0,0,0,0
17,3,14,2,3,2,10,1,0.1176,0.1765,3.268,8,1,0,1,0
23,9,14,1,3,0,1,1,0.0435,0.3913,0.799,7,0,1,1,0
20,2,18,0,1,1,3,1,0.0,0.1,2.666,2,0,0,0,0
7,0,7,0,0,0,1,0,0.0,0.0,2.045,0,0,0,0,0
22,11,11,1,3,0,4,1,0.0455,0.5,2.771,7,0,0,1,0
14,7,7,0,3,1,12,1,0.0,0.5,2.468,6,1,0,1,0
17,4,13,1,0,1,8,0,0.0588,0.2353,3.395,1,0,0,0,1
16,2,14,0,5,2,10,1,0.0,0.125,2.885,10,0,0,0,0
23,10,13,2,6,1,9,1,0.087,0.4348,1.534,14,1,1,0,0
3,3,0,0,0,3,2,0,0.0,1.0,3.311,0,1,0,0,0
2,0,2,1,0,0,3,0,0.5,0.0,1.298,1,0,0,0,1
6,2,4,0,1,2,2,1,0.0,0.3333,0.57,2,1,0,1,0
4,0,4,1,0,0,1,0,0.25,0.0,2.991,1,0,0,0,1
25,4,21,0,0,1,2,0,0.0,0.16,0.875,0,0,1,0,1
10,10,0,0,0,10,0,0,0.0,1.0,2.059,0,1,0,1,0
51,16,35,2,3,3,16,1,0.0392,0.3137,2.27,8,1,0,0,0
11,3,8,0,0,0,3,0,0.0,0.2727,2.495,0,0,0,0,0
9,2,7,1,1,2,5,1,0.1111,0.2222,0.686,3,1,0,1,1
19,16,0,3,0,0,4,0,0.1579,0.8421,1.298,3,0,1,0,1
6,5,1,0,0,0,3,0,0.0,0.8333,0.631,0,0,1,0,0
15,11,4,0,0,10,2,0,0.0,0.7333,1.177,0,1,1,0,0
7,2,0,5,0,2,5,0,0.7143,0.2857,1.534,5,0,0,0,1
13,13,0,0,0,4,4,0,0.0,1.0,1.574,0,1,1,0,0
19,6,13,0,0,0,3,0,0.0,0.3158,3.492,0,0,0,0,0
14,11,3,0,0,8,2,0,0.0,0.7857,2.527,0,1,0,0,0
5,5,0,0,0,1,1,0,0.0,1.0,2.722,0,1,0,0,0
22,3,19,0,6,2,3,1,0.0,0.1364,2.561,12,0,0,0,1
18,16,2,0,0,5,8,0,0.0,0.8889,1.814,0,1,0,0,0
16,5,8,3,0,2,1,0,0.1875,0.3125,1.355,3,1,1,0,1
16,6,10,0,1,3,5,1,0.0,0.375,1.855,2,0,0,1,0
16,2,14,0,1,1,1,1,0.0,0.125,2.459,2,0,0,0,0
2,2,0,0,0,1,0,0,0.0,1.0,2.705,0,1,0,0,0
9,3,6,0,3,1,4,1,0.0,0.3333,3.385,6,1,0,1,1
22,2,20,2,0,1,5,0,0.0909,0.0909,3.465,2,0,0,0,0
16,11,0,5,0,2,1,0,0.3125,0.6875,3.233,5,1,0,0,1
12,9,3,0,0,0,5,0,0.0,0.75,1.438,0,0,1,0,0
21,11,10,0,0,0,7,0,0.0,0.5238,1.567,0,0,1,0,0
6,3,3,1,3,2,6,1,0.1667,0.5,2.456,7,1,0,1,1
14,2,8,4,0,1,1,0,0.2857,0.1429,1.509,4,0,0,0,1
11,5,6,0,0,3,1,0,0.0,0.4545,1.735,0,1,1,0,0
15,5,10,2,0,1,4,0,0.1333,0.3333,0.739,2,1,1,0,1
10,9,1,0,0,9,2,0,0.0,0.9,0.922,0,1,1,1,0
74,10,64,5,1,5,9,1,0.0676,0.1351,2.928,7,0,0,0,0
9,3,1,5,0,0,3,0,0.5556,0.3333,1.706,5,0,1,0,1
12,6,3,3,0,2,2,0,0.25,0.5,3.018,3,1,0,0,1
36,16,20,0,6,1,9,1,0.0,0.4444,2.051,12,0,0,0,0
19,10,9,0,0,10,0,0,0.0,0.5263,3.077,0,1,0,0,0
36,3,33,2,5,1,6,1,0.0556,0.0833,1.797,12,0,1,0,0
24,21,3,0,0,10,8,0,0.0,0.875,1.212,0,1,1,0,0
4,2,2,1,0,1,3,0,0.25,0.5,0.847,1,1,0,0,1
24,19,5,0,0,7,6,0,0.0,0.7917,0.8,0,1,1,0,0
9,6,3,0,0,4,3,0,0.0,0.6667,2.76,0,1,0,0,0
13,2,11,1,0,0,8,0,0.0769,0.1538,2.852,1,0,0,0,1
24,9,15,1,0,4,6,0,0.0417,0.375,0.609,1,1,1,0,0
25,3,22,0,0,1,2,0,0.0,0.12,1.869,0,0,0,0,0
69,24,45,5,3,4,8,1,0.0725,0.3478,2.16,11,1,0,1,0
52,21,31,1,0,1,17,0,0.0192,0.4038,2.853,1,1,0,0,0
24,4,20,2,5,3,12,1,0.0833,0.1667,3.296,12,0,0,0,0
17,6,11,1,0,0,7,0,0.0588,0.3529,0.56,1,0,1,0,1
11,8,3,0,0,1,6,0,0.0,0.7273,1.028,0,1,1,0,0
55,14,41,0,3,6,9,1,0.0,0.2545,0.638,6,0,1,0,0
20,9,11,0,5,3,4,1,0.0,0.45,2.41,10,1,0,0,0
20,6,14,2,5,0,7,1,0.1,0.3,3.244,12,0,0,0,1
18,4,14,1,2,0,4,1,0.0556,0.2222,2.47,5,0,0,1,1
6,1,5,1,0,0,3,0,0.1667,0.1667,2.491,1,1,0,0,1
19,3,14,2,0,2,4,0,0.1053,0.1579,1.356,2,0,1,0,1
8,6,2,0,0,3,8,0,0.0,0.75,3.229,0,1,0,0,0
15,5,10,0,0,1,8,0,0.0,0.3333,1.495,0,1,1,0,0
24,5,19,0,0,0,8,0,0.0,0.2083,1.878,0,0,0,0,0
15,4,11,0,0,0,2,0,0.0,0.2667,3.198,0,0,0,0,0
33,11,22,2,3,1,12,1,0.0606,0.3333,1.425,8,1,1,0,0
7,3,4,0,2,1,5,1,0.0,0.4286,0.995,4,1,1,1,0
38,14,24,2,4,2,9,1,0.0526,0.3684,2.126,10,1,0,0,0
15,7,8,1,4,4,10,1,0.0667,0.4667,2.647,9,1,0,0,1
